ID,Trial_Number,Question,ReappraisalText,Rating,rate_RT,Session_date,Q_type,ReappraisalDirection,PunishingType
115105,1,"To what extent would the offer of 10/90 % split, where you would recieve 10%, from this individual feel unfair to you?",Paul lost his house in a fire,2,360,05-25-2017,unfair,2,na
115105,2,Does the previous description provoke your sympathy toward the individual?,Paul lost his house in a fire,3,5489,05-25-2017,sympathy,2,na
115105,3,Does the previous description provoke your anger at the individual?,Paul lost his house in a fire,1,549,05-25-2017,anger,2,na
115105,4,"To what extent would the offer of 10/90 % split, where you would recieve 10%, from this individual feel unfair to you?",Dave lives in a luxury penthouse apartment,2,729,05-25-2017,unfair,1,resources
115105,5,Does the previous description provoke your sympathy toward the individual?,Dave lives in a luxury penthouse apartment,3,12408,05-25-2017,sympathy,1,resources
115105,6,Does the previous description provoke your anger at the individual?,Dave lives in a luxury penthouse apartment,2,193,05-25-2017,anger,1,resources
115105,7,"To what extent would the offer of 10/90 % split, where you would recieve 10%, from this individual feel unfair to you?",Trish's husband is a wealthy investment banker,1,982,05-25-2017,unfair,1,resources
115105,8,Does the previous description provoke your sympathy toward the individual?,Trish's husband is a wealthy investment banker,3,8321,05-25-2017,sympathy,1,resources
115105,9,Does the previous description provoke your anger at the individual?,Trish's husband is a wealthy investment banker,3,5774,05-25-2017,anger,1,resources
115105,10,"To what extent would the offer of 10/90 % split, where you would recieve 10%, from this individual feel unfair to you?",Sarah can't afford to pay her medical bills,2,156,05-25-2017,unfair,2,na
115105,11,Does the previous description provoke your sympathy toward the individual?,Sarah can't afford to pay her medical bills,4,322,05-25-2017,sympathy,2,na
115105,12,Does the previous description provoke your anger at the individual?,Sarah can't afford to pay her medical bills,3,6193,05-25-2017,anger,2,na
115105,13,"To what extent would the offer of 10/90 % split, where you would recieve 10%, from this individual feel unfair to you?",Alyssa just won the lottery,1,430,05-25-2017,unfair,1,resources
115105,14,Does the previous description provoke your sympathy toward the individual?,Alyssa just won the lottery,3,47849,05-25-2017,sympathy,1,resources
115105,15,Does the previous description provoke your anger at the individual?,Alyssa just won the lottery,1,753,05-25-2017,anger,1,resources
115105,16,"To what extent would the offer of 10/90 % split, where you would recieve 10%, from this individual feel unfair to you?",Eva secretly gambles with her husband's savings.,1,1695,05-25-2017,unfair,1,reputation
115105,17,Does the previous description provoke your sympathy toward the individual?,Eva secretly gambles with her husband's savings.,2,245,05-25-2017,sympathy,1,reputation
115105,18,Does the previous description provoke your anger at the individual?,Eva secretly gambles with her husband's savings.,2,237,05-25-2017,anger,1,reputation
115105,19,"To what extent would the offer of 10/90 % split, where you would recieve 10%, from this individual feel unfair to you?",Jenny works two waitressing jobs to pay her bills.,2,181,05-25-2017,unfair,2,na
115105,20,Does the previous description provoke your sympathy toward the individual?,Jenny works two waitressing jobs to pay her bills.,3,7333,05-25-2017,sympathy,2,na
115105,21,Does the previous description provoke your anger at the individual?,Jenny works two waitressing jobs to pay her bills.,1,1096,05-25-2017,anger,2,na
115105,22,"To what extent would the offer of 10/90 % split, where you would recieve 10%, from this individual feel unfair to you?",Penny used her mother's social security number to open a credit card account.,1,272,05-25-2017,unfair,1,reputation
115105,23,Does the previous description provoke your sympathy toward the individual?,Penny used her mother's social security number to open a credit card account.,1,313,05-25-2017,sympathy,1,reputation
115105,24,Does the previous description provoke your anger at the individual?,Penny used her mother's social security number to open a credit card account.,4,139,05-25-2017,anger,1,reputation
115251,1,To what extent would the offer of 10/90 % split from this individual feel unfair to you?,Kyle declared bankruptcy after he was laid off.,1,743,08-10-2016,unfair,2,na
115251,2,To what extent does the description of the individual provoke your sympathy?,Kyle declared bankruptcy after he was laid off.,4,569,08-10-2016,sympathy,2,na
115251,3,To what extent does the description of the individual provoke your anger?,Kyle declared bankruptcy after he was laid off.,1,1912,08-10-2016,anger,2,na
115251,4,To what extent would the offer of 10/90 % split from this individual feel unfair to you?,Peter often goes through and steals the neighbors' mail.,5,539,08-10-2016,unfair,1,reputation
115251,5,To what extent does the description of the individual provoke your sympathy?,Peter often goes through and steals the neighbors' mail.,1,1256,08-10-2016,sympathy,1,reputation
115251,6,To what extent does the description of the individual provoke your anger?,Peter often goes through and steals the neighbors' mail.,5,852,08-10-2016,anger,1,reputation
115251,7,To what extent would the offer of 10/90 % split from this individual feel unfair to you?,Charlie is a well paid lawyer,3,22191,08-10-2016,unfair,1,resources
115251,8,To what extent does the description of the individual provoke your sympathy?,Charlie is a well paid lawyer,1,945,08-10-2016,sympathy,1,resources
115251,9,To what extent does the description of the individual provoke your anger?,Charlie is a well paid lawyer,1,517,08-10-2016,anger,1,resources
115251,10,To what extent would the offer of 10/90 % split from this individual feel unfair to you?,Sarah can't afford to pay her medical bills,1,592,08-10-2016,unfair,2,na
115251,11,To what extent does the description of the individual provoke your sympathy?,Sarah can't afford to pay her medical bills,5,529,08-10-2016,sympathy,2,na
115251,12,To what extent does the description of the individual provoke your anger?,Sarah can't afford to pay her medical bills,1,694,08-10-2016,anger,2,na
115251,13,To what extent would the offer of 10/90 % split from this individual feel unfair to you?,Karen owns an international company,1,629,08-10-2016,unfair,1,resources
115251,14,To what extent does the description of the individual provoke your sympathy?,Karen owns an international company,1,1210,08-10-2016,sympathy,1,resources
115251,15,To what extent does the description of the individual provoke your anger?,Karen owns an international company,1,688,08-10-2016,anger,1,resources
115251,16,To what extent would the offer of 10/90 % split from this individual feel unfair to you?,Emily is a highly paid actress,1,2675,08-10-2016,unfair,1,resources
115251,17,To what extent does the description of the individual provoke your sympathy?,Emily is a highly paid actress,3,9523,08-10-2016,sympathy,1,resources
115251,18,To what extent does the description of the individual provoke your anger?,Emily is a highly paid actress,1,658,08-10-2016,anger,1,resources
115251,19,To what extent would the offer of 10/90 % split from this individual feel unfair to you?,Janet has to take an unpaid leave of absence because her mother broke her hip.,5,2213,08-10-2016,unfair,2,na
115251,20,To what extent does the description of the individual provoke your sympathy?,Janet has to take an unpaid leave of absence because her mother broke her hip.,5,611,08-10-2016,sympathy,2,na
115251,21,To what extent does the description of the individual provoke your anger?,Janet has to take an unpaid leave of absence because her mother broke her hip.,1,991,08-10-2016,anger,2,na
115300,1,"To what extent would the offer of 10/90 % split, where you receive 10%, from this individual feel unfair to you?",Eric stole money from his mother's wallet.,1,1639,04-18-2017,unfair,1,reputation
115300,2,Does the previous description provoke your sympathy toward the individual?,Eric stole money from his mother's wallet.,1,1322,04-18-2017,sympathy,1,reputation
115300,3,Does the previous description provoke your anger at the individual?,Eric stole money from his mother's wallet.,5,1668,04-18-2017,anger,1,reputation
115300,4,"To what extent would the offer of 10/90 % split, where you receive 10%, from this individual feel unfair to you?",Robert was injured in a hit-and-run accident and cannot afford his medical bills.,1,15361,04-18-2017,unfair,2,na
115300,5,Does the previous description provoke your sympathy toward the individual?,Robert was injured in a hit-and-run accident and cannot afford his medical bills.,2,445,04-18-2017,sympathy,2,na
115300,6,Does the previous description provoke your anger at the individual?,Robert was injured in a hit-and-run accident and cannot afford his medical bills.,4,940,04-18-2017,anger,2,na
115300,7,"To what extent would the offer of 10/90 % split, where you receive 10%, from this individual feel unfair to you?",Frank has been unable to find a job for over a year.,1,1084,04-18-2017,unfair,2,na
115300,8,Does the previous description provoke your sympathy toward the individual?,Frank has been unable to find a job for over a year.,2,405,04-18-2017,sympathy,2,na
115300,9,Does the previous description provoke your anger at the individual?,Frank has been unable to find a job for over a year.,1,2671,04-18-2017,anger,2,na
115300,10,"To what extent would the offer of 10/90 % split, where you receive 10%, from this individual feel unfair to you?",Jacob is saving for his son's operation,1,5268,04-18-2017,unfair,2,na
115300,11,Does the previous description provoke your sympathy toward the individual?,Jacob is saving for his son's operation,2,547,04-18-2017,sympathy,2,na
115300,12,Does the previous description provoke your anger at the individual?,Jacob is saving for his son's operation,1,405,04-18-2017,anger,2,na
115300,13,"To what extent would the offer of 10/90 % split, where you receive 10%, from this individual feel unfair to you?",Tim could not afford his mortgage and his home was foreclosed.,1,376,04-18-2017,unfair,2,na
115300,14,Does the previous description provoke your sympathy toward the individual?,Tim could not afford his mortgage and his home was foreclosed.,2,744,04-18-2017,sympathy,2,na
115300,15,Does the previous description provoke your anger at the individual?,Tim could not afford his mortgage and his home was foreclosed.,1,582,04-18-2017,anger,2,na
115300,16,"To what extent would the offer of 10/90 % split, where you receive 10%, from this individual feel unfair to you?",Eva secretly gambles with her husband's savings.,1,2895,04-18-2017,unfair,1,reputation
115300,17,Does the previous description provoke your sympathy toward the individual?,Eva secretly gambles with her husband's savings.,1,544,04-18-2017,sympathy,1,reputation
115300,18,Does the previous description provoke your anger at the individual?,Eva secretly gambles with her husband's savings.,5,657,04-18-2017,anger,1,reputation
115300,19,"To what extent would the offer of 10/90 % split, where you receive 10%, from this individual feel unfair to you?",Anna claims false expenses for her reportable work travel.,2,4807,04-18-2017,unfair,1,reputation
115300,20,Does the previous description provoke your sympathy toward the individual?,Anna claims false expenses for her reportable work travel.,2,1727,04-18-2017,sympathy,1,reputation
115300,21,Does the previous description provoke your anger at the individual?,Anna claims false expenses for her reportable work travel.,4,706,04-18-2017,anger,1,reputation
